Question,Answer
"What is the return policy?","You can return items within 30 days of purchase for a full refund."
"What payment methods are accepted?","We accept credit cards, PayPal, and Apple Pay."
"What shipping options are available?","We offer standard, expedited, and overnight shipping."
"What is the warranty on electronics?","Electronics come with a one-year warranty against defects."
"What is the customer service contact number?","You can reach customer service at 1-800-555-0199."
"What are the store hours?","Our store hours are Monday to Friday, 9 AM to 9 PM."
"What is the loyalty program?","Our loyalty program offers points for every purchase that can be redeemed for discounts."
"What is the privacy policy?","We value your privacy and do not share your information with third parties."
"What is the exchange policy?","You can exchange items within 30 days of purchase if they are in original condition."
"What is the gift card policy?","Gift cards are non-refundable and do not expire."
"What is the price matching policy?","We will match any competitor's price on identical items."
"What is the order tracking process?","You can track your order through the link provided in your confirmation email."
"What is the cancellation policy?","Orders can be canceled within 24 hours of purchase for a full refund."
"What is the backorder policy?","Items on backorder will be shipped as soon as they are available."
"What is the international shipping policy?","We offer international shipping to select countries with additional fees."
"What is the bulk order discount?","Bulk orders of 10 or more items qualify for a 10% discount."
"What is the student discount?","Students can receive a 15% discount with a valid student ID."
"What is the referral program?","Refer a friend and both of you will receive a $10 discount on your next purchase."
"What is the warranty on furniture?","Furniture comes with a two-year warranty against defects."
"What is the warranty on appliances?","Appliances come with a one-year warranty against defects."
"What is the warranty on clothing?","Clothing can be returned within 30 days for a full refund if unworn."
